"81A944 AUTOMATED HEALTH SYSTEMS "
Date Range :	11/14/2023 - 11/14/2024
"
"
"
"
Activity Date,Activity,Fund,Money Source,"# of Units",Unit Price,Amount
2024-07-15,CONTRIBUTION,0899 Vanguard 500 Index Fund Adm,Employee PreTax,0.1286,32.967729,4.24
2024-07-15,CONTRIBUTION,0757 Vanguard Small-Cap Index Fund Adm,Employee PreTax,0.266,22.367823,5.95
2024-07-15,CONTRIBUTION,6595 Victory Sycmr Established Value F R6,Safe Harbor Match,0.1455,27.2224,3.96
2024-07-15,CONTRIBUTION,3869 BrandywineGLOBAL Glbl Opp Bnd Fd IS,Safe Harbor Match,0.3066,9.263429,2.84
2024-07-15,CONTRIBUTION,2566 DFA U.S. Targeted Value Port Inst,Safe Harbor Match,0.0788,35.894951,2.83
2024-07-15,CONTRIBUTION,2323 American Funds Fundamental Invst R6,Safe Harbor Match,0.3565,46.064134,16.42
2024-07-15,CONTRIBUTION,1899 American Funds New Perspective R6,Safe Harbor Match,0.2455,36.903459,9.06
2024-07-15,CONTRIBUTION,1723 American Funds EUPAC Fund R6,Safe Harbor Match,0.7277,20.228364,14.72
2024-07-15,CONTRIBUTION,0899 Vanguard 500 Index Fund Adm,Safe Harbor Match,0.0861,32.967729,2.84
2024-07-15,CONTRIBUTION,0757 Vanguard Small-Cap Index Fund Adm,Safe Harbor Match,0.177,22.367823,3.96
2024-07-15,CONTRIBUTION,6595 Victory Sycmr Established Value F R6,Employee PreTax,0.2186,27.2224,5.95
2024-07-15,CONTRIBUTION,3869 BrandywineGLOBAL Glbl Opp Bnd Fd IS,Employee PreTax,0.4577,9.263429,4.24
2024-07-15,CONTRIBUTION,2566 DFA U.S. Targeted Value Port Inst,Employee PreTax,0.1184,35.894951,4.25
2024-07-15,CONTRIBUTION,2323 American Funds Fundamental Invst R6,Employee PreTax,0.5347,46.064134,24.63
2024-07-15,CONTRIBUTION,1899 American Funds New Perspective R6,Employee PreTax,0.3683,36.903459,13.59
2024-07-15,CONTRIBUTION,1723 American Funds EUPAC Fund R6,Employee PreTax,1.092,20.228364,22.09
2024-07-15,CONTRIBUTION,0899 Vanguard 500 Index Fund Adm,Employee PreTax,0.1286,32.967729,4.24
2024-07-15,CONTRIBUTION,0757 Vanguard Small-Cap Index Fund Adm,Employee PreTax,0.266,22.367823,5.95
2024-07-08,OTHER,6595 Victory Sycmr Established Value F R6,Safe Harbor Match,-0.0027,26.246839,-0.07
2024-07-08,OTHER,6595 Victory Sycmr Established Value F R6,Employee PreTax,-0.0042,26.246839,-0.11
2024-07-08,OTHER,3869 BrandywineGLOBAL Glbl Opp Bnd Fd IS,Safe Harbor Match,-0.0055,9.148282,-0.05
2024-07-08,OTHER,3869 BrandywineGLOBAL Glbl Opp Bnd Fd IS,Employee PreTax,-0.0087,9.148282,-0.08
2024-07-08,OTHER,2566 DFA U.S. Targeted Value Port Inst,Safe Harbor Match,-0.0015,33.751289,-0.05
2024-07-08,OTHER,2566 DFA U.S. Targeted Value Port Inst,Employee PreTax,-0.0024,33.751289,-0.08
2024-07-08,OTHER,2323 American Funds Fundamental Invst R6,Safe Harbor Match,-0.0068,45.635897,-0.31
2024-07-08,OTHER,2323 American Funds Fundamental Invst R6,Employee PreTax,-0.0107,45.635897,-0.49
2024-07-08,OTHER,1899 American Funds New Perspective R6,Safe Harbor Match,-0.0046,36.686565,-0.17
2024-07-08,OTHER,1899 American Funds New Perspective R6,Employee PreTax,-0.0074,36.686565,-0.27
2024-07-08,OTHER,1723 American Funds EUPAC Fund R6,Safe Harbor Match,-0.0135,19.939956,-0.27
2024-07-08,OTHER,1723 American Funds EUPAC Fund R6,Employee PreTax,-0.0216,19.939956,-0.43
2024-07-08,OTHER,0899 Vanguard 500 Index Fund Adm,Safe Harbor Match,-0.0015,32.622583,-0.05
2024-07-08,OTHER,0899 Vanguard 500 Index Fund Adm,Employee PreTax,-0.0028,32.622583,-0.09
2024-07-08,OTHER,0757 Vanguard Small-Cap Index Fund Adm,Safe Harbor Match,-0.0033,21.304858,-0.07
2024-07-08,OTHER,0757 Vanguard Small-Cap Index Fund Adm,Employee PreTax,-0.0052,21.304858,-0.11
2024-07-01,CONTRIBUTION,6595 Victory Sycmr Established Value F R6,Safe Harbor Match,0.1531,26.196585,4.01
2024-07-01,CONTRIBUTION,3869 BrandywineGLOBAL Glbl Opp Bnd Fd IS,Safe Harbor Match,0.3189,8.969401,2.86
2024-07-01,CONTRIBUTION,2566 DFA U.S. Targeted Value Port Inst,Safe Harbor Match,0.0844,33.886115,2.86
2024-07-01,CONTRIBUTION,2323 American Funds Fundamental Invst R6,Safe Harbor Match,0.3695,44.898278,16.59
2024-07-01,CONTRIBUTION,1899 American Funds New Perspective R6,Safe Harbor Match,0.2551,35.9085,9.16
2024-07-01,CONTRIBUTION,1723 American Funds EUPAC Fund R6,Safe Harbor Match,0.7627,19.495286,14.87
2024-07-01,CONTRIBUTION,0899 Vanguard 500 Index Fund Adm,Safe Harbor Match,0.0892,32.048898,2.86
2024-07-01,CONTRIBUTION,0757 Vanguard Small-Cap Index Fund Adm,Safe Harbor Match,0.189,21.22251,4.01
2024-07-01,CONTRIBUTION,6595 Victory Sycmr Established Value F R6,Employee PreTax,0.2294,26.196585,6.01
2024-07-01,CONTRIBUTION,3869 BrandywineGLOBAL Glbl Opp Bnd Fd IS,Employee PreTax,0.4783,8.969401,4.29
2024-07-01,CONTRIBUTION,2566 DFA U.S. Targeted Value Port Inst,Employee PreTax,0.1266,33.886115,4.29
2024-07-01,CONTRIBUTION,2323 American Funds Fundamental Invst R6,Employee PreTax,0.5546,44.898278,24.9
2024-07-01,CONTRIBUTION,1899 American Funds New Perspective R6,Employee PreTax,0.3824,35.9085,13.73
2024-07-01,CONTRIBUTION,1723 American Funds EUPAC Fund R6,Employee PreTax,1.1449,19.495286,22.32
2024-07-01,CONTRIBUTION,0899 Vanguard 500 Index Fund Adm,Employee PreTax,0.1339,32.048898,4.29
2024-07-01,CONTRIBUTION,0757 Vanguard Small-Cap Index Fund Adm,Employee PreTax,0.2832,21.22251,6.01
2024-06-14,CONTRIBUTION,6595 Victory Sycmr Established Value F R6,Safe Harbor Match,0.1814,26.183657,4.75
2024-06-14,CONTRIBUTION,3869 BrandywineGLOBAL Glbl Opp Bnd Fd IS,Safe Harbor Match,0.3707,9.144934,3.39
2024-06-14,CONTRIBUTION,2566 DFA U.S. Targeted Value Port Inst,Safe Harbor Match,0.1013,33.478642,3.39
2024-06-14,CONTRIBUTION,2323 American Funds Fundamental Invst R6,Safe Harbor Match,0.4397,44.756826,19.68
2024-06-14,CONTRIBUTION,1899 American Funds New Perspective R6,Safe Harbor Match,0.305,35.602738,10.86
2024-06-14,CONTRIBUTION,1723 American Funds EUPAC Fund R6,Safe Harbor Match,0.9116,19.350601,17.64
2024-06-14,CONTRIBUTION,0899 Vanguard 500 Index Fund Adm,Safe Harbor Match,0.1066,31.794162,3.39
2024-06-14,CONTRIBUTION,0757 Vanguard Small-Cap Index Fund Adm,Safe Harbor Match,0.2248,21.133044,4.75
2024-06-14,CONTRIBUTION,6595 Victory Sycmr Established Value F R6,Employee PreTax,0.2719,26.183657,7.12
2024-06-14,CONTRIBUTION,3869 BrandywineGLOBAL Glbl Opp Bnd Fd IS,Employee PreTax,0.5566,9.144934,5.09
2024-06-14,CONTRIBUTION,2566 DFA U.S. Targeted Value Port Inst,Employee PreTax,0.152,33.478642,5.09
2024-06-14,CONTRIBUTION,2323 American Funds Fundamental Invst R6,Employee PreTax,0.6596,44.756826,29.52
2024-06-14,CONTRIBUTION,1899 American Funds New Perspective R6,Employee PreTax,0.4573,35.602738,16.28
2024-06-14,CONTRIBUTION,1723 American Funds EUPAC Fund R6,Employee PreTax,1.3679,19.350601,26.47
2024-06-14,CONTRIBUTION,0899 Vanguard 500 Index Fund Adm,Employee PreTax,0.1601,31.794162,5.09
2024-06-14,CONTRIBUTION,0757 Vanguard Small-Cap Index Fund Adm,Employee PreTax,0.3369,21.133044,7.12
2024-05-31,CONTRIBUTION,6595 Victory Sycmr Established Value F R6,Safe Harbor Match,0.1539,26.897065,4.14
2024-05-31,CONTRIBUTION,3869 BrandywineGLOBAL Glbl Opp Bnd Fd IS,Safe Harbor Match,0.3243,9.095804,2.95
